counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/first_language,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/gender,consent_prescreening.block_1/age_years,consent_prescreening.block_1/declare_consent,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,271.2518,272.1238,l,1,0.2046,,0.2046,1,272.1244,272.623,272.6232,272.6236,-0.304629601,0.066666667,0,0,0,,0,70,70,55,1,56,FEM,DIS,150,0,nube,el,4,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,272.6285,274.9901,s,0,1.6907,,1.6907,0,274.9941,275.4898,275.4899,275.4902,-0.304629601,0.066666667,0,0,0,,0,71,71,83,1,84,FEM,DIS,150,0,broma,el,5,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,275.4956,276.4275,s,0,0.2587,,0.2587,0,276.4279,276.9229,276.9231,276.9235,-0.310185157,0.066666667,0,0,0,,0,72,72,413,1,414,MAS,DIS,150,0,templo,la,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,276.9283,279.5728,,0,,,0.2587,-1,279.5769,280.0741,280.0744,280.075,-0.310185157,0.066666667,0,0,0,,0,73,73,328,1,329,MAS,AGR,150,0,primo,el,5,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,280.0795,282.4046,s,0,1.6559,,1.6559,0,282.4072,282.8935,282.8935,282.8936,-0.310185157,0.066666667,0,0,0,,0,74,74,226,1,227,MAS,AGR,150,0,hijo,el,4,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,282.8949,284.1375,s,0,0.5635,,0.5635,0,284.1379,284.6379,284.6423,284.6442,-0.310185157,0.066666667,0,0,0,,0,75,75,183,1,184,FEM,DIS,150,0,alarma,el,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,284.6464,287.2875,,0,,,0.5635,-1,287.2907,287.7875,287.7878,287.7884,-0.310185157,0.066666667,0,0,0,,0,76,76,378,1,379,MAS,AGR,150,0,sonido,el,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,287.7918,289.7963,l,1,1.3325,,1.3325,1,289.7991,290.2887,290.2889,290.2894,-0.310185157,0.066666667,0,0,0,,0,77,77,403,1,404,MAS,DIS,150,0,rastro,la,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,290.2941,292.9387,,0,,,1.3325,-1,292.9423,293.4365,293.4366,293.4367,-0.310185157,0.066666667,0,0,0,,0,78,78,362,1,363,MAS,AGR,150,0,pasado,el,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,293.4385,294.5718,s,0,0.4688,,0.4688,0,294.5758,295.0715,295.0716,295.0722,-0.308333333,0.094444444,0,0,0,,0,79,79,359,1,360,MAS,DIS,150,0,ataque,la,6,,,,,
