counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,438.9223,440.1332,s,1,0.5365,,0.5365,1,440.1333,440.6332,440.6333,440.6334,0.117592621,-0.366666667,0,0,0,,0,215,215,174,1,175,FEM,DIS,150,0,cadena,el,6,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,440.6352,441.7996,l,1,0.4838,,0.4838,1,441.7998,442.2997,442.2998,442.3,0.117592621,-0.366666667,0,0,0,,0,216,216,461,1,462,FEM,AGR,150,1,cebra,la,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,442.3021,443.3323,s,1,0.3547,,0.3547,1,443.3324,443.8323,443.8324,443.8325,0.117592621,-0.366666667,0,0,0,,0,217,217,80,1,81,FEM,DIS,150,0,mitad,el,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,443.834,444.9665,s,1,0.4458,,0.4458,1,444.9667,445.4657,445.4659,445.4662,0.117592621,-0.366666667,0,0,0,,0,218,218,207,1,208,FEM,AGR,150,0,lupa,la,4,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,445.4681,446.5317,s,1,0.3839,,0.3839,1,446.532,447.0316,447.0346,447.036,0.117592621,-0.366666667,0,0,0,,0,219,219,146,1,147,FEM,DIS,150,0,manera,el,6,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,447.0371,448.0654,s,1,0.3514,,0.3514,1,448.0656,448.5646,448.5647,448.5648,0.117592621,-0.366666667,0,0,0,,0,220,220,264,1,265,MAS,DIS,150,0,kilo,la,4,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,448.5668,449.7906,s,1,0.5507,,0.5507,1,449.7907,450.2922,450.2922,450.2924,0.117592621,-0.366666667,0,0,0,,0,221,221,301,1,302,MAS,AGR,150,0,banco,el,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,450.294,451.3384,s,1,0.3661,,0.3661,1,451.3385,451.8388,451.8388,451.839,0.117592621,-0.366666667,0,0,0,,0,222,222,196,1,197,FEM,DIS,150,0,poesía,el,6,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,451.8425,452.8141,s,1,0.3011,,0.3011,1,452.8143,453.3136,453.3136,453.3139,0.117592621,-0.366666667,0,0,0,,0,223,223,82,1,83,FEM,DIS,150,0,línea,el,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,453.3158,454.3305,s,1,0.3386,,0.3386,1,454.3307,454.8302,454.8303,454.8305,0.117592621,-0.366666667,0,0,0,,0,224,224,234,1,235,MAS,DIS,150,0,saco,la,4,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,454.8329,455.78,s,0,0.2631,,0.2631,0,455.7816,456.2797,456.2821,456.2836,0.117592621,-0.366666667,0,0,0,,0,225,225,457,1,458,FEM,AGR,150,1,mula,la,4,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,456.2848,457.3129,l,1,0.3567,,0.3567,1,457.3142,457.813,457.8131,457.8133,0.117592621,-0.366666667,0,0,0,,0,226,226,458,1,459,FEM,DIS,150,1,loba,el,4,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,457.8149,458.896,s,1,0.4054,,0.4054,1,458.8962,459.3959,459.396,459.3961,0.117592621,-0.366666667,0,0,0,,0,227,227,43,1,44,FEM,AGR,150,0,masa,la,4,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,459.398,460.3956,s,1,0.3151,,0.3151,1,460.3957,460.8956,460.8956,460.8959,0.117592621,-0.366666667,0,0,0,,0,228,228,288,1,289,MAS,DIS,150,0,cielo,la,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,460.8978,461.8953,s,1,0.3195,,0.3195,1,461.8953,462.3952,462.3953,462.3956,0.117592621,-0.366666667,0,0,0,,0,229,229,144,1,145,FEM,DIS,150,0,ciudad,el,6,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,462.3979,463.4117,s,1,0.3375,,0.3375,1,463.4119,463.9113,463.9132,463.9147,0.117592621,-0.366666667,0,0,0,,0,230,230,413,1,414,MAS,AGR,150,0,templo,el,6,,,,,
