counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,187.5778,188.2582,l,1,0.0021,1,188.2585,188.7574,0.0021,,188.7576,188.758,0.492872807,-0.499451754,0,0,0,,0,34,34,42,1,43,FEM,DIS,150,0,hoja,el,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,188.7611,189.6874,l,1,0.252,1,189.6875,190.1853,0.252,,190.1855,190.1859,0.492872807,-0.499451754,0,0,0,,0,35,35,392,1,393,MAS,DIS,150,0,barrio,la,6,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,190.1895,191.0553,l,1,0.202,1,191.0555,191.5592,0.202,,191.565,191.5672,0.492872807,-0.499451754,0,0,0,,0,36,36,68,1,69,FEM,DIS,150,0,grúa,el,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,191.5696,192.2893,l,0,0.0518,0,192.2916,192.7933,0.0518,,192.7936,192.794,0.492872807,-0.499451754,0,0,0,,0,37,37,473,1,474,FEM,AGR,150,1,liebre,la,6,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,192.7975,194.2481,l,1,0.7752,1,194.2502,194.7449,0.7752,,194.7451,194.7456,0.492872807,-0.499451754,0,0,0,,0,38,38,193,1,194,FEM,AGR,150,0,colina,la,6,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,194.7499,195.7126,s,0,0.2856,0,195.7167,196.2125,0.2856,,196.2127,196.2132,0.492872807,-0.499451754,0,0,0,,0,39,39,26,1,27,FEM,DIS,150,0,bala,el,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,196.2179,197.161,l,1,0.2686,1,197.1643,197.653,0.2686,,197.6533,197.6536,0.492872807,-0.499451754,0,0,0,,0,40,40,179,1,180,FEM,AGR,150,0,sombra,la,6,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,197.6592,198.7297,l,1,0.4011,1,198.7297,199.2202,0.4011,,199.2251,199.2273,0.492872807,-0.499451754,0,0,0,,0,41,41,299,1,300,MAS,AGR,150,0,papel,el,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,199.2304,200.2948,l,1,0.402,1,200.295,200.799,0.402,,200.7993,200.7997,0.492872807,-0.499451754,0,0,0,,0,42,42,0,1,1,FEM,DIS,150,0,casa,el,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,200.8048,201.6502,l,1,0.1692,1,201.6507,202.1502,0.1692,,202.1504,202.1508,0.492872807,-0.499451754,0,0,0,,0,43,43,33,1,34,FEM,AGR,150,0,miel,la,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,202.155,202.9669,l,1,0.1383,1,202.9672,203.4673,0.1383,,203.4676,203.4681,0.492872807,-0.499451754,0,0,0,,0,44,44,149,1,150,FEM,AGR,150,0,comida,la,6,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,203.4724,204.4016,l,1,0.2519,1,204.4019,204.9018,0.2519,,204.9018,204.9023,0.492872807,-0.499451754,0,0,0,,0,45,45,267,1,268,MAS,AGR,150,0,coco,el,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,204.9068,205.8487,s,0,0.2684,0,205.8522,206.353,0.2684,,206.3532,206.3538,0.492872807,-0.499451754,0,0,0,,0,46,46,222,1,223,MAS,DIS,150,0,taxi,la,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,206.3587,207.5373,l,1,0.4867,1,207.5413,208.0375,0.4867,,208.0443,208.0468,0.492872807,-0.499451754,0,0,0,,0,47,47,312,1,313,MAS,DIS,150,0,calor,la,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,208.05,208.8542,l,1,0.1378,1,208.8545,209.3549,0.1378,,209.3551,209.3556,0.492872807,-0.499451754,0,0,0,,0,48,48,112,1,113,FEM,DIS,150,0,ducha,el,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,209.3606,210.5725,l,1,0.5369,1,210.573,211.0729,0.5369,,211.0731,211.0737,0.492872807,-0.499451754,0,0,0,,0,49,49,362,1,363,MAS,DIS,150,0,pasado,la,6,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,211.0783,211.9065,l,1,0.155,1,211.9068,212.407,0.155,,212.4073,212.4077,0.492872807,-0.499451754,0,0,0,,0,50,50,224,1,225,MAS,DIS,150,0,dios,la,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,212.412,213.2065,s,1,0.1175,1,213.2067,213.7038,0.1175,,213.704,213.7047,0.492872807,-0.499451754,0,0,0,,0,51,51,514,1,515,MAS,DIS,150,1,chacal,la,6,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,213.7119,214.5509,l,1,0.1773,1,214.5514,215.0541,0.1773,,215.0588,215.0631,0.492872807,-0.499451754,0,0,0,,0,52,52,371,1,372,MAS,AGR,150,0,motivo,el,6,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,215.066,215.8427,l,0,0.1029,0,215.8469,216.3429,0.1029,,216.3431,216.3438,0.492872807,-0.499451754,0,0,0,,0,53,53,427,1,428,FEM,AGR,150,1,ostra,la,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,216.35,217.224,l,1,0.2027,1,217.2274,217.726,0.2027,,217.7261,217.7262,0.492872807,-0.499451754,0,0,0,,0,54,54,405,1,406,MAS,AGR,150,0,pánico,el,6,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,217.7281,218.4249,s,0,0.0354,0,218.4283,218.9284,0.0354,,218.9286,218.9293,0.492872807,-0.499451754,0,0,0,,0,55,55,230,1,231,MAS,DIS,150,0,lago,la,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,218.9341,219.7475,l,0,0.1394,0,219.7479,220.2461,0.1394,,220.2463,220.2469,0.492872807,-0.499451754,0,0,0,,0,56,56,495,1,496,MAS,AGR,150,1,loro,el,4,,,,
