counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,instr_done_keyboard.rt,instr_done_keyboard.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1039.3866,1040.5165,l,1,0.4463,,0.4463,1,1040.5167,1041.0162,,,1041.0183,1041.019,-0.133333333,-0.387037037,0,0,0,,0,464,464,8,1,9,FEM,AGR,150,0,cama,la,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1041.0196,1042.0813,l,1,0.3849,,0.3849,1,1042.0816,1042.5813,,,1042.5816,1042.5818,-0.133333333,-0.387037037,0,0,0,,0,465,465,214,1,215,MAS,AGR,150,0,modo,el,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1042.5838,1043.5137,l,1,0.2574,,0.2574,1,1043.5141,1044.0191,,,1044.0191,1044.0192,-0.133333333,-0.387037037,0,0,0,,0,466,466,74,1,75,FEM,AGR,150,0,clase,la,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1044.0208,1045.396,l,1,0.7008,,0.7008,1,1045.3968,1045.8955,,,1045.8957,1045.8959,-0.133333333,-0.387037037,0,0,0,,0,467,467,230,1,231,MAS,AGR,150,0,lago,el,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1045.8978,1047.0809,l,1,0.5114,,0.5114,1,1047.0809,1047.5774,,,1047.5779,1047.5784,-0.133333333,-0.387037037,0,0,0,,0,468,468,36,1,37,FEM,AGR,150,0,caza,la,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1047.5798,1048.642,s,1,0.3852,,0.3852,1,1048.6423,1049.1424,,,1049.145,1049.1456,-0.133333333,-0.387037037,0,0,0,,0,469,469,487,1,488,MAS,DIS,150,1,gato,la,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1049.146,1050.2577,l,1,0.4396,,0.4396,1,1050.2579,1050.7573,,,1050.7575,1050.7578,-0.133333333,-0.387037037,0,0,0,,0,470,470,339,1,340,MAS,DIS,150,0,patio,la,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1050.7604,1051.7652,l,1,0.3336,,0.3336,1,1051.7653,1052.2569,,,1052.2571,1052.2575,-0.133333333,-0.387037037,0,0,0,,0,471,471,335,1,336,MAS,DIS,150,0,reino,la,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1052.2591,1053.4061,s,1,0.4633,,0.4633,1,1053.4065,1053.9099,,,1053.9099,1053.91,-0.133333333,-0.387037037,0,0,0,,0,472,472,522,1,523,MAS,AGR,150,1,gato,el,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1053.9118,1054.9211,l,1,0.3266,,0.3266,1,1054.9215,1055.4207,,,1055.4209,1055.421,-0.133333333,-0.387037037,0,0,0,,0,473,473,41,1,42,FEM,DIS,150,0,risa,el,4,,,,
