counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_touch.clicked_name,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,End.started,End.stopped
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,794.3579,795.4706,s,1,0.4382,,0.4382,1,795.4709,795.9715,795.9717,795.9719,-0.084635417,-0.403645833,0,0,0,,0,423,423,37,1,38,FEM,DIS,150,0,mina,el,4,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,795.9749,797.1227,s,1,0.471,,0.471,1,797.123,797.6203,797.6204,797.621,-0.084635417,-0.403645833,0,0,0,,0,424,424,175,1,176,FEM,DIS,150,0,granja,el,6,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,797.6246,798.844,l,1,0.547,,0.547,1,798.8442,799.3379,799.3417,799.3444,-0.084635417,-0.403645833,0,0,0,,0,425,425,479,1,480,FEM,DIS,150,1,jirafa,el,6,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,799.347,800.6085,l,1,0.591,,0.591,1,800.6087,801.1027,801.1029,801.1033,-0.084635417,-0.403645833,0,0,0,,0,426,426,517,1,518,MAS,DIS,150,1,koala,la,5,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,801.1086,802.2771,s,1,0.4964,,0.4964,1,802.2772,802.7697,802.77,802.7702,-0.084635417,-0.403645833,0,0,0,,0,427,427,247,1,248,MAS,DIS,150,0,cabo,la,4,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,802.7748,803.8363,s,1,0.3863,,0.3863,1,803.8368,804.3434,804.3435,804.3439,-0.084635417,-0.403645833,0,0,0,,0,428,428,36,1,37,FEM,AGR,150,0,caza,la,4,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,804.3479,805.4816,s,1,0.461,,0.461,1,805.4818,805.9759,805.976,805.9764,-0.084635417,-0.403645833,0,0,0,,0,429,429,296,1,297,MAS,AGR,150,0,hotel,el,5,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,805.9808,807.0621,s,1,0.3977,,0.3977,1,807.0622,807.5602,807.564,807.5661,-0.084635417,-0.403645833,0,0,0,,0,430,430,215,1,216,MAS,DIS,150,0,tren,la,4,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,807.5691,808.7294,s,1,0.4934,,0.4934,1,808.73,809.2274,809.2274,809.228,-0.084635417,-0.403645833,0,0,0,,0,431,431,212,1,213,MAS,AGR,150,0,plan,el,4,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,809.2314,810.2332,l,1,0.3201,,0.3201,1,810.2334,810.7288,810.7289,810.7297,-0.084635417,-0.403645833,0,0,0,,0,432,432,454,1,455,FEM,AGR,150,1,gata,la,4,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,810.7337,811.8292,s,1,0.4233,,0.4233,1,811.8294,812.3267,812.3268,812.3273,-0.084635417,-0.403645833,0,0,0,,0,433,433,255,1,256,MAS,DIS,150,0,reto,la,4,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,812.3314,813.3502,s,1,0.3413,,0.3413,1,813.3505,813.8427,813.8428,813.8432,-0.084635417,-0.403645833,0,0,0,,0,434,434,375,1,376,MAS,DIS,150,0,código,la,6,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,813.8473,815.077,s,0,0.5528,,0.5528,0,815.0789,815.5774,815.5776,815.578,-0.084635417,-0.403645833,0,0,0,,0,435,435,449,1,450,FEM,DIS,150,1,víbora,el,6,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,815.582,816.5792,s,1,0.3172,,0.3172,1,816.5814,817.0742,817.0774,817.0796,-0.084635417,-0.403645833,0,0,0,,0,436,436,84,1,85,FEM,AGR,150,0,tarde,la,5,,,
