counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,297.3657,298.6278,s,0,0.5848,0,298.628,299.1272,0.5848,,299.1274,299.1277,-0.36328125,-0.376302083,0,0,0,,0,29,29,448,1,449,FEM,AGR,150,1,gamba,la,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,299.1311,300.1928,s,0,0.39,0,300.193,300.692,0.39,,300.6964,300.6982,-0.36328125,-0.376302083,0,0,0,,0,30,30,541,1,542,MAS,DIS,150,1,gecko,la,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,300.7,301.8577,s,0,0.4914,0,301.8579,302.3568,0.4914,,302.3569,302.3573,-0.36328125,-0.376302083,0,0,0,,0,31,31,510,1,511,MAS,AGR,150,1,conejo,el,6,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,302.36,303.5555,s,0,0.5258,0,303.5557,304.0549,0.5258,,304.0551,304.0554,-0.36328125,-0.376302083,0,0,0,,0,32,32,507,1,508,MAS,DIS,150,1,mirlo,la,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,304.0589,305.3033,l,0,0.5688,0,305.3035,305.8031,0.5688,,305.8032,305.8036,-0.36328125,-0.376302083,0,0,0,,0,33,33,60,1,61,FEM,AGR,150,0,leña,la,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,305.8066,306.9182,s,1,0.437,1,306.9205,307.4175,0.437,,307.4177,307.418,-0.36328125,-0.376302083,0,0,0,,0,34,34,112,1,113,FEM,AGR,150,0,ducha,la,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,307.4206,308.6163,s,1,0.5215,1,308.6167,309.1157,0.5215,,309.1159,309.1162,-0.36328125,-0.376302083,0,0,0,,0,35,35,58,1,59,FEM,AGR,150,0,tela,la,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,309.1187,310.4977,l,1,0.7085,1,310.498,310.997,0.7085,,311.0004,311.0022,-0.36328125,-0.376302083,0,0,0,,0,36,36,491,1,492,MAS,DIS,150,1,león,la,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,311.004,312.1957,l,1,0.5259,1,312.1959,312.695,0.5259,,312.6951,312.6955,-0.36328125,-0.376302083,0,0,0,,0,37,37,497,1,498,MAS,DIS,150,1,perro,la,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,312.6979,313.8105,l,0,0.4385,0,313.8128,314.3098,0.4385,,314.31,314.3103,-0.36328125,-0.376302083,0,0,0,,0,38,38,125,1,126,FEM,DIS,150,0,barba,el,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,314.3129,315.5415,s,1,0.552,1,315.5435,316.0408,0.552,,316.041,316.0413,-0.36328125,-0.376302083,0,0,0,,0,39,39,396,1,397,MAS,AGR,150,0,jurado,el,6,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,316.0439,317.0565,s,1,0.3351,1,317.0567,317.556,0.3351,,317.5562,317.5565,-0.36328125,-0.376302083,0,0,0,,0,40,40,345,1,346,MAS,DIS,150,0,hombre,la,6,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,317.5594,318.8878,l,0,0.6675,0,318.8903,319.3871,0.6675,,319.3911,319.3933,-0.36328125,-0.376302083,0,0,0,,0,41,41,131,1,132,FEM,DIS,150,0,selva,el,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,319.3956,320.6761,l,1,0.6168,1,320.6781,321.1686,0.6168,,321.1689,321.1691,-0.36328125,-0.376302083,0,0,0,,0,42,42,487,1,488,MAS,DIS,150,1,gato,la,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,321.1718,322.4338,s,1,0.585,1,322.4342,322.933,0.585,,322.9332,322.9335,-0.36328125,-0.376302083,0,0,0,,0,43,43,18,1,19,FEM,AGR,150,0,sala,la,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,322.9362,324.3147,l,1,0.7033,1,324.315,324.8142,0.7033,,324.8144,324.8146,-0.36328125,-0.376302083,0,0,0,,0,44,44,439,1,440,FEM,DIS,150,1,iguana,el,6,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,324.8172,326.113,l,1,0.6179,1,326.1133,326.6121,0.6179,,326.6122,326.6125,-0.36328125,-0.376302083,0,0,0,,0,45,45,419,1,420,FEM,DIS,150,1,gata,el,4,,,,
