counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,consent_prescreening.block_1/declare_consent,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,177.6369,178.8515,l,1,0.5557,,0.5557,1,178.8515,179.3515,179.3516,179.3516,0.819444444,-0.051851852,0,0,0,,0,40,40,146,1,147,FEM,DIS,150,0,manera,el,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,179.3521,180.664,s,1,0.6552,,0.6552,1,180.6641,181.164,181.1648,181.165,0.819444444,-0.051851852,0,0,0,,0,41,41,496,1,497,MAS,DIS,150,1,atún,la,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,181.1654,182.5459,l,1,0.7259,,0.7259,1,182.5459,183.0459,183.046,183.046,0.819444444,-0.051851852,0,0,0,,0,42,42,240,1,241,MAS,DIS,150,0,lujo,la,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,183.0465,184.3306,l,1,0.6279,,0.6279,1,184.3307,184.8306,184.8306,184.8307,0.819444444,-0.051851852,0,0,0,,0,43,43,396,1,397,MAS,DIS,150,0,jurado,la,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,184.8312,186.0667,s,1,0.5765,,0.5765,1,186.0668,186.5667,186.5667,186.5668,0.819444444,-0.051851852,0,0,0,,0,44,44,449,1,450,FEM,AGR,150,1,víbora,la,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,186.5674,187.6987,s,1,0.4738,,0.4738,1,187.6987,188.1986,188.1986,188.1987,0.819444444,-0.051851852,0,0,0,,0,45,45,486,1,487,MAS,DIS,150,1,ganso,la,5,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,188.1992,189.4348,l,1,0.5766,,0.5766,1,189.4348,189.9347,189.9348,189.9348,0.819444444,-0.051851852,0,0,0,,0,46,46,368,1,369,MAS,DIS,150,0,estilo,la,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,189.9356,191.5667,l,1,0.9724,,0.9724,1,191.5667,192.0667,192.0674,192.0678,0.819444444,-0.051851852,0,0,0,,0,47,47,145,1,146,FEM,AGR,150,0,señora,la,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,192.0681,193.2961,l,1,0.5737,,0.5737,1,193.2961,193.7958,193.7959,193.7959,0.819444444,-0.051851852,0,0,0,,0,48,48,337,1,338,MAS,AGR,150,0,grado,el,5,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,193.7965,195.15,l,1,0.6946,,0.6946,1,195.1501,195.6499,195.65,195.65,0.819444444,-0.051851852,0,0,0,,0,49,49,117,1,118,FEM,AGR,150,0,aldea,la,5,,,,
