counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,instr_done_touch.clicked_name,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,446.9531,448.5496,s,1,0.9243,,0.9243,1,448.5498,449.0392,,449.0392,449.0394,-0.111754964,-0.398321601,0,0,0,,0,135,135,326,1,327,MAS,DIS,150,0,carro,la,5,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,449.0409,450.5222,s,1,0.8011,,0.8011,1,450.5223,451.0211,,451.0229,451.0247,-0.111754964,-0.398321601,0,0,0,,0,136,136,317,1,318,MAS,AGR,150,0,hielo,el,5,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,451.0258,452.2203,s,1,0.5137,,0.5137,1,452.2204,452.7233,,452.7234,452.7235,-0.111754964,-0.398321601,0,0,0,,0,137,137,236,1,237,MAS,DIS,150,0,muro,la,4,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,452.7249,453.7595,s,1,0.3643,,0.3643,1,453.7596,454.2532,,454.2533,454.2534,-0.111754964,-0.398321601,0,0,0,,0,138,138,84,1,85,FEM,DIS,150,0,tarde,el,5,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,454.2549,455.2846,s,1,0.353,,0.353,1,455.2846,455.7856,,455.7856,455.7858,-0.111754964,-0.398321601,0,0,0,,0,139,139,384,1,385,MAS,DIS,150,0,parque,la,6,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,455.7875,456.6174,s,1,0.1482,,0.1482,1,456.6174,457.1138,,457.1139,457.1141,-0.111754964,-0.398321601,0,0,0,,0,140,140,258,1,259,MAS,DIS,150,0,mito,la,4,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,457.1154,458.0483,s,1,0.2641,0.0004,0.2641,1,458.0486,458.5493,,458.5504,458.5517,-0.111754964,-0.398321601,0,0,0,,0,141,141,146,1,147,FEM,DIS,150,0,manera,el,6,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,458.5526,459.7046,s,1,0.4655,,0.4655,1,459.7047,460.1993,,460.1993,460.1995,-0.111754964,-0.398321601,0,0,0,,0,142,142,7,1,8,FEM,AGR,150,0,cara,la,4,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,460.201,461.1689,s,1,0.2918,,0.2918,1,461.169,461.665,,461.6651,461.6652,-0.111754964,-0.398321601,0,0,0,,0,143,143,178,1,179,FEM,DIS,150,0,muñeca,el,6,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,461.6668,462.7302,s,1,0.3947,,0.3947,1,462.7303,463.2386,,463.2387,463.2389,-0.111754964,-0.398321601,0,0,0,,0,144,144,115,1,116,FEM,AGR,150,0,letra,la,5,,,,,
