counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,119.8567,121.0061,l,1,0.4732,1,121.0062,121.5061,0.4732,,121.5061,121.5063,0.013888889,-0.314814815,0,0,0,,0,5,5,435,1,436,FEM,DIS,150,1,abeja,el,5,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,121.5067,122.7896,s,1,0.6004,1,122.7896,123.2895,0.6004,,123.2895,123.2896,0.013888889,-0.314814815,0,0,0,,0,6,6,6,1,7,FEM,AGR,150,0,hija,la,4,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,123.2901,124.4395,s,1,0.4637,1,124.4395,124.9396,0.4637,,124.9396,124.9396,0.013888889,-0.314814815,0,0,0,,0,7,7,221,1,222,MAS,DIS,150,0,cine,la,4,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,124.9402,126.0562,s,1,0.434,1,126.0562,126.5562,0.434,,126.5568,126.5572,0.013888889,-0.314814815,0,0,0,,0,8,8,258,1,259,MAS,AGR,150,0,mito,el,4,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,126.5575,127.7062,s,1,0.4671,1,127.7063,128.2063,0.4671,,128.2063,128.2063,0.013888889,-0.314814815,0,0,0,,0,9,9,388,1,389,MAS,AGR,150,0,rostro,el,6,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,128.207,129.3562,s,1,0.4668,1,129.3563,129.8562,0.4668,,129.8562,129.8563,0.013888889,-0.314814815,0,0,0,,0,10,10,171,1,172,FEM,DIS,150,0,gracia,el,6,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,129.8568,130.9395,l,1,0.4083,1,130.9396,131.4396,0.4083,,131.4397,131.4398,0.013888889,-0.314814815,0,0,0,,0,11,11,445,1,446,FEM,DIS,150,1,urraca,el,6,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,131.4402,132.6896,l,1,0.5736,1,132.6896,133.1895,0.5736,,133.1896,133.1896,0.013888889,-0.314814815,0,0,0,,0,12,12,489,1,490,MAS,DIS,150,1,lobo,la,4,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,133.1901,134.2562,s,1,0.3854,1,134.2562,134.7562,0.3854,,134.7568,134.7571,0.013888889,-0.314814815,0,0,0,,0,13,13,14,1,15,FEM,AGR,150,0,mesa,la,4,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,134.7574,135.873,s,1,0.4365,1,135.873,136.3729,0.4365,,136.3729,136.3729,0.013888889,-0.314814815,0,0,0,,0,14,14,86,1,87,FEM,AGR,150,0,llave,la,5,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,136.3736,137.6396,l,1,0.5885,1,137.6397,138.1396,0.5885,,138.1396,138.1397,0.013888889,-0.314814815,0,0,0,,0,15,15,482,1,483,FEM,AGR,150,1,piraña,la,6,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,138.1402,139.323,s,1,0.5127,1,139.323,139.823,0.5127,,139.823,139.8231,0.013888889,-0.314814815,0,0,0,,0,16,16,18,1,19,FEM,AGR,150,0,sala,la,4,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,139.8236,140.9564,s,1,0.4536,1,140.9564,141.4564,0.4536,,141.4564,141.4564,0.013888889,-0.314814815,0,0,0,,0,17,17,327,1,328,MAS,DIS,150,0,truco,la,5,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,141.4568,142.5563,s,1,0.4207,1,142.5564,143.0564,0.4207,,143.0564,143.0565,0.013888889,-0.314814815,0,0,0,,0,18,18,70,1,71,FEM,AGR,150,0,gente,la,5,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,143.0569,144.073,s,1,0.346,1,144.073,144.573,0.346,,144.5737,144.574,0.013888889,-0.314814815,0,0,0,,0,19,19,361,1,362,MAS,DIS,150,0,crimen,la,6,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,144.5744,145.9564,l,1,0.7031,1,145.9564,146.4564,0.7031,,146.4564,146.4564,0.013888889,-0.314814815,0,0,0,,0,20,20,453,1,454,FEM,DIS,150,1,rana,el,4,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,146.4568,147.6398,l,1,0.507,1,147.6398,148.1397,0.507,,148.1397,148.1398,0.013888889,-0.314814815,0,0,0,,0,21,21,476,1,477,FEM,AGR,150,1,gacela,la,6,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,148.1403,149.2398,s,1,0.4246,1,149.2398,149.7396,0.4246,,149.7397,149.7397,0.013888889,-0.314814815,0,0,0,,0,22,22,409,1,410,MAS,DIS,150,0,objeto,la,6,,,,,
