counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,End.started,End.stopped
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,553.5323,554.5315,s,1,0.3437,1,554.5316,555.032,0.3437,,555.0321,555.0321,0.065740741,-0.400925926,0,0,0,,0,306,306,169,1,170,FEM,AGR,150,0,unidad,la,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,555.033,555.9412,s,1,0.254,1,555.9413,556.4411,0.254,,556.4411,556.4412,0.065740741,-0.400925926,0,0,0,,0,307,307,356,1,357,MAS,DIS,150,0,asunto,la,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,556.4418,557.3439,s,1,0.2446,1,557.3439,557.844,0.2446,,557.8447,557.845,0.065740741,-0.400925926,0,0,0,,0,308,308,241,1,242,MAS,AGR,150,0,pico,el,4,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,557.8454,558.8859,l,1,0.3868,1,558.886,559.3856,0.3868,,559.3857,559.3857,0.065740741,-0.400925926,0,0,0,,0,309,309,504,1,505,MAS,DIS,150,1,cisne,la,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,559.3865,560.4689,s,0,0.4254,0,560.4694,560.9689,0.4254,,560.969,560.9691,0.065740741,-0.400925926,0,0,0,,0,310,310,416,1,417,FEM,DIS,150,1,sepia,el,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,560.9699,561.8923,s,1,0.2643,1,561.893,562.3923,0.2643,,562.3923,562.3924,0.065740741,-0.400925926,0,0,0,,0,311,311,342,1,343,MAS,DIS,150,0,rumbo,la,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,562.3931,563.4966,l,1,0.4485,1,563.4967,563.9967,0.4485,,563.9968,563.9969,0.065740741,-0.400925926,0,0,0,,0,312,312,532,1,533,MAS,DIS,150,1,perro,la,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,563.9977,565.0942,s,1,0.4399,1,565.0943,565.5939,0.4399,,565.594,565.5941,0.065740741,-0.400925926,0,0,0,,0,313,313,351,1,352,MAS,AGR,150,0,número,el,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,565.5951,566.6148,s,1,0.3613,1,566.6149,567.1145,0.3613,,567.1153,567.1157,0.065740741,-0.400925926,0,0,0,,0,314,314,47,1,48,FEM,AGR,150,0,fase,la,4,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,567.1161,568.198,l,1,0.4269,1,568.198,568.6979,0.4269,,568.698,568.6981,0.065740741,-0.400925926,0,0,0,,0,315,315,529,1,530,MAS,AGR,150,1,topo,el,4,,,
