counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/age_years,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,562.072,563.1228,s,1,0.3673,1,563.123,563.6206,0.3673,,563.6229,563.6271,0.717899306,0.263372396,0,0,0,,0,130,130,148,1,149,FEM,AGR,150,0,fiesta,la,6,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,563.6286,564.653,s,1,0.3499,1,564.6532,565.1555,0.3499,,565.1556,565.1559,0.717899306,0.263372396,0,0,0,,0,131,131,180,1,181,FEM,AGR,150,0,página,la,6,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,565.158,566.2877,s,1,0.4515,1,566.2878,566.7881,0.4515,,566.7884,566.7887,0.717899306,0.263372396,0,0,0,,0,132,132,79,1,80,FEM,DIS,150,0,carta,el,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,566.7905,567.8542,s,1,0.3923,1,567.8543,568.355,0.3923,,568.3556,568.3559,0.717899306,0.263372396,0,0,0,,0,133,133,97,1,98,FEM,DIS,150,0,playa,el,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,568.3579,569.6047,s,1,0.5679,1,569.6049,570.1041,0.5679,,570.1041,570.1044,0.717899306,0.263372396,0,0,0,,0,134,134,214,1,215,MAS,AGR,150,0,modo,el,4,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,570.1065,571.2226,s,1,0.4344,1,571.2228,571.7208,0.4344,,571.7209,571.7211,0.717899306,0.263372396,0,0,0,,0,135,135,230,1,231,MAS,AGR,150,0,lago,el,4,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,571.7244,572.8039,s,1,0.4156,1,572.804,573.3035,0.4156,,573.3051,573.3099,0.717899306,0.263372396,0,0,0,,0,136,136,220,1,221,MAS,AGR,150,0,frío,el,4,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,573.3112,574.4242,s,1,0.4397,1,574.4245,574.9217,0.4397,,574.9218,574.9221,0.717899306,0.263372396,0,0,0,,0,137,137,378,1,379,MAS,AGR,150,0,sonido,el,6,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,574.9244,576.0878,l,1,0.4837,1,576.088,576.5899,0.4837,,576.5901,576.5904,0.717899306,0.263372396,0,0,0,,0,138,138,490,1,491,MAS,AGR,150,1,pavo,el,4,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,576.5924,577.7718,s,1,0.5018,1,577.772,578.2716,0.5018,,578.2717,578.2719,0.717899306,0.263372396,0,0,0,,0,139,139,408,1,409,MAS,AGR,150,0,océano,el,6,,,,,
