counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,instr_done_keyboard.rt,instr_done_keyboard.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,388.8328,389.9145,s,1,0.4005,1,389.9146,390.4144,0.4005,,,,390.4145,390.4146,0.219249132,-0.12890191,0,0,0,,0,104,104,520,1,521,MAS,DIS,150,1,ciervo,la,6,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,390.4155,391.4969,l,1,0.4002,1,391.497,391.9977,0.4002,,,,391.9978,391.9979,0.219249132,-0.12890191,0,0,0,,0,105,105,301,1,302,MAS,AGR,150,0,banco,el,5,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,391.9989,392.9645,l,1,0.284,1,392.9646,393.4641,0.284,,,,393.4642,393.4643,0.219249132,-0.12890191,0,0,0,,0,106,106,283,1,284,MAS,AGR,150,0,poder,el,5,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,393.4654,394.4646,l,1,0.3169,1,394.4647,394.9646,0.3169,,,,394.9646,394.9648,0.219249132,-0.12890191,0,0,0,,0,107,107,112,1,113,FEM,DIS,150,0,ducha,el,5,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,394.9658,395.9479,l,1,0.3001,1,395.9481,396.4479,0.3001,,,,396.4488,396.4496,0.219249132,-0.12890191,0,0,0,,0,108,108,238,1,239,MAS,DIS,150,0,pozo,la,4,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,396.4502,397.4313,l,1,0.2997,1,397.4314,397.9312,0.2997,,,,397.9313,397.9314,0.219249132,-0.12890191,0,0,0,,0,109,109,281,1,282,MAS,AGR,150,0,juego,el,5,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,397.9323,398.9146,l,1,0.3039,1,398.9147,399.4146,0.3039,,,,399.4147,399.4148,0.219249132,-0.12890191,0,0,0,,0,110,110,20,1,21,FEM,DIS,150,0,luna,el,4,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,399.4158,400.348,l,1,0.254,1,400.3481,400.848,0.254,,,,400.8481,400.8482,0.219249132,-0.12890191,0,0,0,,0,111,111,200,1,201,FEM,DIS,150,0,huella,el,6,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,400.8491,401.8481,l,1,0.3179,1,401.8483,402.348,0.3179,,,,402.3481,402.3481,0.219249132,-0.12890191,0,0,0,,0,112,112,231,1,232,MAS,AGR,150,0,vaso,el,4,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,402.3491,403.4482,s,1,0.4173,1,403.4483,403.9477,0.4173,,,,403.9489,403.9496,0.219249132,-0.12890191,0,0,0,,0,113,113,431,1,432,FEM,AGR,150,1,morsa,la,5,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,403.9504,404.9147,l,1,0.2841,1,404.9149,405.4148,0.2841,,,,405.4148,405.4149,0.219249132,-0.12890191,0,0,0,,0,114,114,73,1,74,FEM,AGR,150,0,chica,la,5,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,405.416,406.4647,l,1,0.3781,1,406.4647,406.9647,0.3781,,,,406.9648,406.965,0.219249132,-0.12890191,0,0,0,,0,115,115,233,1,234,MAS,AGR,150,0,tono,el,4,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,406.966,408.0481,s,1,0.4022,1,408.0482,408.5481,0.4022,,,,408.5482,408.5483,0.219249132,-0.12890191,0,0,0,,0,116,116,500,1,501,MAS,DIS,150,1,piojo,la,5,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,408.5494,409.5809,l,1,0.3507,1,409.5811,410.0814,0.3507,,,,410.0816,410.0816,0.219249132,-0.12890191,0,0,0,,0,117,117,46,1,47,FEM,DIS,150,0,fuga,el,4,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,410.083,411.165,l,1,0.4009,1,411.1651,411.665,0.4009,,,,411.6651,411.6653,0.219249132,-0.12890191,0,0,0,,0,118,118,139,1,140,FEM,AGR,150,0,cabeza,la,6,,,,
