counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,612.3122,613.3426,l,1,0.3602,1,613.3427,613.842,0.3602,,613.8421,613.8423,-0.359166654,-0.079999987,0,0,0,,0,292,292,454,1,455,FEM,AGR,150,1,gata,la,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,613.8438,614.9083,s,1,0.3941,1,614.9084,615.4082,0.3941,,615.4083,615.4086,-0.359166654,-0.079999987,0,0,0,,0,293,293,317,1,318,MAS,DIS,150,0,hielo,la,5,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,615.4101,616.525,s,1,0.4388,1,616.5251,617.0248,0.4388,,617.025,617.0251,-0.359166654,-0.079999987,0,0,0,,0,294,294,248,1,249,MAS,AGR,150,0,tomo,el,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,617.0264,618.3585,s,1,0.6606,1,618.3587,618.858,0.6606,,618.8582,618.8583,-0.359166654,-0.079999987,0,0,0,,0,295,295,250,1,251,MAS,AGR,150,0,giro,el,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,618.8601,619.8744,s,1,0.3344,1,619.8746,620.3746,0.3344,,620.3747,620.3749,-0.359166654,-0.079999987,0,0,0,,0,296,296,88,1,89,FEM,AGR,150,0,pista,la,5,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,620.3767,621.4577,l,1,0.4008,1,621.4578,621.9575,0.4008,,621.9591,621.9602,-0.359166654,-0.079999987,0,0,0,,0,297,297,467,1,468,FEM,DIS,150,1,oveja,el,5,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,621.9613,623.1241,s,1,0.4814,1,623.1242,623.625,0.4814,,623.625,623.6251,-0.359166654,-0.079999987,0,0,0,,0,298,298,61,1,62,FEM,DIS,150,0,joya,el,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,623.6266,624.6737,s,1,0.3751,1,624.6739,625.1747,0.3751,,625.1748,625.1751,-0.359166654,-0.079999987,0,0,0,,0,299,299,314,1,315,MAS,AGR,150,0,norte,el,5,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,625.1765,626.2753,s,1,0.427,1,626.2754,626.7746,0.427,,626.7747,626.7749,-0.359166654,-0.079999987,0,0,0,,0,300,300,399,1,400,MAS,DIS,150,0,diario,la,6,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,626.7765,627.8403,s,1,0.3892,1,627.8404,628.3407,0.3892,,628.3408,628.3409,-0.359166654,-0.079999987,0,0,0,,0,301,301,365,1,366,MAS,DIS,150,0,juicio,la,6,,,,,
