TrialID,StimulusType,Condition,PrimeDuration,Prime,Flanker,corrAns,Transparency
148.0,MAS,AGR,150.0,surf,el,l,Opaque
149.0,MAS,CON,150.0,nudo,,l,Transparent
150.0,MAS,DIS,150.0,mozo,la,l,Transparent
151.0,FEM,AGR,150.0,noche,la,a,Opaque
152.0,FEM,CON,150.0,gente,,a,Opaque
153.0,FEM,DIS,150.0,mujer,el,a,Opaque
154.0,MAS,AGR,150.0,padre,el,l,Opaque
155.0,MAS,CON,150.0,mundo,,l,Transparent
156.0,MAS,DIS,150.0,amigo,la,l,Transparent
157.0,FEM,AGR,150.0,madre,la,a,Opaque
158.0,FEM,CON,150.0,chica,,a,Transparent
159.0,FEM,DIS,150.0,clase,el,a,Opaque
160.0,MAS,AGR,150.0,señor,el,l,Opaque
161.0,MAS,CON,150.0,chico,,l,Transparent
162.0,MAS,DIS,150.0,miedo,la,l,Transparent
163.0,FEM,AGR,150.0,calle,la,a,Opaque
164.0,FEM,CON,150.0,novia,,a,Transparent
165.0,FEM,DIS,150.0,amiga,el,a,Transparent
166.0,MAS,AGR,150.0,coche,el,l,Opaque
167.0,MAS,CON,150.0,juego,,l,Transparent
168.0,MAS,DIS,150.0,sitio,la,l,Transparent
169.0,FEM,AGR,150.0,vista,la,a,Transparent
170.0,FEM,CON,150.0,carta,,a,Transparent
171.0,FEM,DIS,150.0,mitad,el,a,Opaque
172.0,MAS,AGR,150.0,poder,el,l,Opaque
173.0,MAS,CON,150.0,libro,,l,Transparent
174.0,MAS,DIS,150.0,perro,la,l,Transparent
175.0,FEM,AGR,150.0,señal,la,a,Opaque
176.0,FEM,CON,150.0,línea,,a,Transparent
177.0,FEM,DIS,150.0,broma,el,a,Transparent
178.0,MAS,AGR,150.0,punto,el,l,Transparent
179.0,MAS,CON,150.0,viaje,,l,Opaque
180.0,MAS,DIS,150.0,fuego,la,l,Transparent
181.0,FEM,AGR,150.0,tarde,la,a,Opaque
182.0,FEM,CON,150.0,prisa,,a,Transparent
183.0,FEM,DIS,150.0,llave,el,a,Opaque
184.0,MAS,AGR,150.0,cielo,el,l,Transparent
185.0,MAS,CON,150.0,sueño,,l,Transparent
186.0,MAS,DIS,150.0,error,la,l,Opaque
187.0,FEM,AGR,150.0,lista,la,a,Transparent
188.0,FEM,CON,150.0,bomba,,a,Transparent
189.0,FEM,DIS,150.0,pista,el,a,Transparent
190.0,MAS,AGR,150.0,campo,el,l,Transparent
191.0,MAS,CON,150.0,dolor,,l,Opaque
192.0,MAS,DIS,150.0,grupo,la,l,Transparent
193.0,FEM,AGR,150.0,bolsa,la,a,Transparent
194.0,FEM,CON,150.0,banda,,a,Transparent
195.0,FEM,DIS,150.0,pared,el,a,Opaque
196.0,MAS,AGR,150.0,barco,el,l,Transparent
197.0,MAS,CON,150.0,avión,,l,Opaque
198.0,MAS,DIS,150.0,hotel,la,l,Opaque
199.0,FEM,AGR,150.0,nariz,la,a,Opaque
200.0,FEM,CON,150.0,silla,,a,Transparent
201.0,FEM,DIS,150.0,leche,el,a,Opaque
202.0,MAS,AGR,150.0,honor,el,l,Opaque
203.0,MAS,CON,150.0,novio,,l,Transparent
204.0,MAS,DIS,150.0,papel,la,l,Opaque
205.0,FEM,AGR,150.0,reina,la,a,Transparent
206.0,FEM,CON,150.0,época,,a,Transparent
207.0,FEM,DIS,150.0,playa,el,a,Transparent
208.0,MAS,AGR,150.0,suelo,el,l,Transparent
209.0,MAS,CON,150.0,banco,,l,Transparent
210.0,MAS,DIS,150.0,baile,la,l,Opaque
211.0,FEM,AGR,150.0,salud,la,a,Opaque
212.0,FEM,CON,150.0,cinta,,a,Transparent
213.0,FEM,DIS,150.0,magia,el,a,Transparent
214.0,MAS,AGR,150.0,fondo,el,l,Transparent
215.0,MAS,CON,150.0,hueso,,l,Transparent
216.0,MAS,DIS,150.0,éxito,la,l,Transparent
217.0,FEM,AGR,150.0,tarea,la,a,Transparent
218.0,FEM,CON,150.0,nieve,,a,Opaque
219.0,FEM,DIS,150.0,costa,el,a,Transparent
220.0,MAS,AGR,150.0,huevo,el,l,Transparent
221.0,MAS,CON,150.0,brazo,,l,Transparent
222.0,MAS,DIS,150.0,valor,la,l,Opaque
223.0,FEM,AGR,150.0,plata,la,a,Transparent
224.0,FEM,CON,150.0,arena,,a,Transparent
225.0,FEM,DIS,150.0,pieza,el,a,Transparent
226.0,MAS,AGR,150.0,color,el,l,Opaque
227.0,MAS,CON,150.0,vuelo,,l,Transparent
228.0,MAS,DIS,150.0,nivel,la,l,Opaque
229.0,FEM,AGR,150.0,celda,la,a,Transparent
230.0,FEM,CON,150.0,regla,,a,Transparent
231.0,FEM,DIS,150.0,bruja,el,a,Transparent
232.0,MAS,AGR,150.0,calor,el,l,Opaque
233.0,MAS,CON,150.0,golpe,,l,Opaque
234.0,MAS,DIS,150.0,héroe,la,l,Opaque
235.0,FEM,AGR,150.0,torre,la,a,Opaque
236.0,FEM,CON,150.0,deuda,,a,Transparent
237.0,FEM,DIS,150.0,ducha,el,a,Transparent
238.0,MAS,AGR,150.0,norte,el,l,Opaque
239.0,MAS,CON,150.0,reloj,,l,Opaque
240.0,MAS,DIS,150.0,ruido,la,l,Transparent
241.0,FEM,AGR,150.0,pasta,la,a,Transparent
242.0,FEM,CON,150.0,pizza,,a,Transparent
243.0,FEM,DIS,150.0,salsa,el,a,Transparent
244.0,MAS,AGR,150.0,hielo,el,l,Transparent
245.0,MAS,CON,150.0,turno,,l,Transparent
246.0,MAS,DIS,150.0,humor,la,l,Opaque
247.0,FEM,AGR,150.0,frase,la,a,Opaque
