word	frq	zipf	num_letters	Lev_N	
jaula	15.955066	4.202899	5	1.700000	
barba	16.538709	4.218502	5	1.100000	
truco	36.959723	4.567729	5	1.600000	
primo	41.127365	4.614131	5	1.500000	
queso	36.613861	4.563646	5	1.350000	
viuda	15.831852	4.199532	5	1.700000	
oreja	15.667568	4.195002	5	1.750000	
tarta	14.854791	4.171867	5	1.250000	
motor	33.246025	4.521740	5	1.750000	
disco	33.246025	4.521740	5	1.450000	
ritmo	29.925746	4.476045	5	1.750000	
plaza	21.620725	4.334870	5	1.500000	
presa	14.800750	4.170284	5	1.250000	
selva	14.167389	4.151290	5	1.550000	
salón	33.096872	4.519787	5	1.250000	
actor	29.674996	4.472391	5	1.650000	
bolso	28.576883	4.456015	5	1.650000	
pluma	13.765324	4.138786	5	1.750000	
fruta	14.007428	4.146358	5	1.500000	
mafia	15.237401	4.182911	5	1.550000	
reino	35.169885	4.546171	5	1.350000	
plato	26.936198	4.430336	5	1.100000	
grado	27.106967	4.433081	5	1.100000	
tabla	12.881214	4.109957	5	1.550000	
cabra	13.021720	4.114668	5	1.000000	
aguja	12.340803	4.091343	5	1.700000	
piano	24.878316	4.395821	5	1.600000	
patio	23.609433	4.373086	5	1.350000	
grasa	12.366743	4.092255	5	1.150000	
feria	11.930092	4.076644	5	1.450000	
manta	9.924090	3.996691	5	1.000000	
botón	22.805303	4.358036	5	1.500000	
rumbo	23.665636	4.374118	5	1.450000	
