TrialID,Gender,StimulusType,Condition,PrimeDuration,Prime,Flanker,PairedWith,Transparency
255,MAS,WORD,AGR,150,miedo,el,mauco,Transparent
256,MAS,NOWORD,AGR,150,mauco,el,miedo,Transparent
257,FEM,WORD,DIS,150,amiga,el,asama,Transparent
258,FEM,NOWORD,DIS,150,asama,el,amiga,Transparent
259,MAS,WORD,DIS,150,juego,la,jaumo,Transparent
260,MAS,NOWORD,AGR,150,jaumo,el,juego,Transparent
261,MAS,WORD,AGR,150,sitio,el,titio,Transparent
262,MAS,NOWORD,DIS,150,titio,la,sitio,Transparent
263,FEM,WORD,AGR,150,vista,la,dosta,Transparent
264,FEM,NOWORD,AGR,150,dosta,la,vista,Transparent
265,FEM,WORD,DIS,150,mitad,el,pitat,Opaque
266,FEM,NOWORD,DIS,150,pitat,el,mitad,Opaque
267,MAS,WORD,DIS,150,libro,la,figro,Transparent
268,MAS,NOWORD,AGR,150,figro,el,libro,Transparent
269,MAS,WORD,AGR,150,perro,el,mello,Transparent
270,MAS,NOWORD,DIS,150,mello,la,perro,Transparent
271,FEM,WORD,AGR,150,señal,la,refal,Opaque
272,FEM,NOWORD,AGR,150,refal,la,señal,Opaque
273,FEM,WORD,DIS,150,broma,el,frosa,Transparent
274,FEM,NOWORD,DIS,150,frosa,el,broma,Transparent
275,MAS,WORD,DIS,150,punto,la,musto,Transparent
276,MAS,NOWORD,AGR,150,musto,el,punto,Transparent
277,MAS,WORD,AGR,150,fuego,el,vuemo,Transparent
278,MAS,NOWORD,DIS,150,vuemo,la,fuego,Transparent
279,FEM,WORD,AGR,150,prisa,la,grina,Transparent
280,FEM,NOWORD,AGR,150,grina,la,prisa,Transparent
281,MAS,WORD,DIS,150,cielo,la,cauro,Transparent
282,MAS,NOWORD,DIS,150,cauro,la,cielo,Transparent
283,MAS,WORD,AGR,150,sueño,el,tuevo,Transparent
284,MAS,NOWORD,AGR,150,tuevo,el,sueño,Transparent
285,MAS,WORD,DIS,150,error,la,echor,Opaque
286,MAS,NOWORD,DIS,150,echor,la,error,Opaque
287,FEM,WORD,DIS,150,lista,el,fosta,Transparent
288,FEM,NOWORD,AGR,150,fosta,la,lista,Transparent
289,FEM,WORD,AGR,150,bomba,la,bumpa,Transparent
290,FEM,NOWORD,DIS,150,bumpa,el,bomba,Transparent
291,FEM,WORD,DIS,150,pista,el,mesta,Transparent
292,FEM,NOWORD,AGR,150,mesta,la,pista,Transparent
293,MAS,WORD,AGR,150,campo,el,cacso,Transparent
294,MAS,NOWORD,DIS,150,cacso,la,campo,Transparent
295,MAS,WORD,DIS,150,dolor,la,goler,Opaque
296,MAS,NOWORD,AGR,150,goler,el,dolor,Opaque
297,MAS,WORD,AGR,150,grupo,el,brubo,Transparent
298,MAS,NOWORD,DIS,150,brubo,la,grupo,Transparent
299,FEM,WORD,AGR,150,bolsa,la,bosga,Transparent
300,FEM,NOWORD,AGR,150,bosga,la,bolsa,Transparent
301,FEM,WORD,DIS,150,banda,el,ranga,Transparent
302,FEM,NOWORD,DIS,150,ranga,el,banda,Transparent
303,MAS,WORD,DIS,150,barco,la,lanco,Transparent
304,MAS,NOWORD,AGR,150,lanco,el,barco,Transparent
305,MAS,WORD,AGR,150,avión,el,adiol,Opaque
306,MAS,NOWORD,DIS,150,adiol,la,avión,Opaque
307,MAS,WORD,DIS,150,hotel,la,holol,Opaque
308,MAS,NOWORD,AGR,150,holol,el,hotel,Opaque
309,FEM,WORD,AGR,150,silla,la,tirra,Transparent
310,FEM,NOWORD,DIS,150,tirra,el,silla,Transparent
311,MAS,WORD,AGR,150,honor,el,nosor,Opaque
312,MAS,NOWORD,AGR,150,nosor,el,honor,Opaque
313,MAS,WORD,DIS,150,novio,la,govio,Transparent
314,MAS,NOWORD,DIS,150,govio,la,novio,Transparent
315,FEM,WORD,DIS,150,reina,el,riosa,Transparent
316,FEM,NOWORD,AGR,150,riosa,la,reina,Transparent
317,FEM,WORD,AGR,150,playa,la,plaad,Transparent
318,FEM,NOWORD,DIS,150,plaad,el,playa,Opaque
319,MAS,WORD,AGR,150,suelo,el,tuero,Transparent
320,MAS,NOWORD,AGR,150,tuero,el,suelo,Transparent
321,MAS,WORD,DIS,150,banco,la,rarco,Transparent
322,MAS,NOWORD,DIS,150,rarco,la,banco,Transparent
323,FEM,WORD,DIS,150,cinta,el,certa,Transparent
324,FEM,NOWORD,AGR,150,certa,la,cinta,Transparent
325,FEM,WORD,AGR,150,magia,la,mabia,Transparent
326,FEM,NOWORD,DIS,150,mabia,el,magia,Transparent
327,MAS,WORD,AGR,150,fondo,el,lendo,Transparent
328,MAS,NOWORD,AGR,150,lendo,el,fondo,Transparent
329,MAS,WORD,DIS,150,hueso,la,nueno,Transparent
330,MAS,NOWORD,DIS,150,nueno,la,hueso,Transparent
331,MAS,WORD,AGR,150,éxito,el,erato,Transparent
332,MAS,NOWORD,AGR,150,erato,el,éxito,Transparent
333,FEM,WORD,DIS,150,tarea,el,dalea,Transparent
334,FEM,NOWORD,DIS,150,dalea,el,tarea,Transparent
335,FEM,WORD,AGR,150,costa,la,pesta,Transparent
336,FEM,NOWORD,AGR,150,pesta,la,costa,Transparent
337,MAS,WORD,DIS,150,huevo,la,nuejo,Transparent
338,MAS,NOWORD,DIS,150,nuejo,la,huevo,Transparent
339,MAS,WORD,AGR,150,brazo,el,plajo,Transparent
340,MAS,NOWORD,AGR,150,plajo,el,brazo,Transparent
341,MAS,WORD,DIS,150,valor,la,daror,Opaque
342,MAS,NOWORD,DIS,150,daror,la,valor,Opaque
343,FEM,WORD,DIS,150,plata,el,trada,Transparent
344,FEM,NOWORD,AGR,150,trada,la,plata,Transparent
345,FEM,WORD,AGR,150,arena,la,anera,Transparent
346,FEM,NOWORD,DIS,150,anera,el,arena,Transparent
347,FEM,WORD,DIS,150,pieza,el,mueza,Transparent
348,FEM,NOWORD,AGR,150,mueza,la,pieza,Transparent
349,MAS,WORD,AGR,150,color,el,cosir,Opaque
350,MAS,NOWORD,DIS,150,cosir,la,color,Opaque
351,MAS,WORD,DIS,150,vuelo,la,duepo,Transparent
352,MAS,NOWORD,AGR,150,duepo,el,vuelo,Transparent
353,FEM,WORD,AGR,150,celda,la,cezca,Transparent
354,FEM,NOWORD,DIS,150,cezca,el,celda,Transparent
355,FEM,WORD,DIS,150,regla,el,bepla,Transparent
356,FEM,NOWORD,AGR,150,bepla,la,regla,Transparent
357,FEM,WORD,AGR,150,bruja,la,gruba,Transparent
358,FEM,NOWORD,DIS,150,gruba,el,bruja,Transparent
359,MAS,WORD,AGR,150,calor,el,cacer,Opaque
360,MAS,NOWORD,AGR,150,cacer,el,calor,Opaque
361,FEM,WORD,DIS,150,torre,el,solle,Opaque
362,FEM,NOWORD,DIS,150,solle,el,torre,Opaque
363,FEM,WORD,AGR,150,deuda,la,veida,Transparent
364,FEM,NOWORD,AGR,150,veida,la,deuda,Transparent
365,FEM,WORD,DIS,150,ducha,el,gulla,Transparent
366,FEM,NOWORD,DIS,150,gulla,el,ducha,Transparent
