word	frq	zipf	num_letters	Lev_N	
niño	272.401243	5.435209	4	1.150000	
país	172.196253	5.236024	4	1.750000	
plan	161.277808	5.207575	4	1.000000	
baño	123.695533	5.092354	4	1.000000	
modo	140.495800	5.147663	4	1.000000	
tren	108.635386	5.035971	4	1.100000	
pelo	112.915434	5.052753	4	1.000000	
rato	85.335067	4.931128	4	1.000000	
voto	21.348358	4.329364	4	1.000000	
club	85.724163	4.933103	4	1.900000	
frío	85.596626	4.932457	4	1.550000	
cine	61.046879	4.785663	4	1.100000	
taxi	58.852814	4.769767	4	1.750000	
dedo	43.859678	4.642065	4	1.050000	
dios	1198.004738	6.078459	4	1.100000	
bote	42.398410	4.627350	4	1.000000	
hijo	674.092343	5.828719	4	1.300000	
odio	141.235081	5.149943	4	1.050000	
olor	37.720620	4.576579	4	1.750000	
loco	267.178720	5.426802	4	1.000000	
lago	37.517426	4.574233	4	1.000000	
vaso	31.596694	4.499642	4	1.000000	
humo	28.974624	4.462018	4	1.100000	
tono	21.261892	4.327602	4	1.000000	
saco	30.431570	4.483324	4	1.000000	
rayo	22.701545	4.356055	4	1.000000	
muro	20.823079	4.318545	4	1.000000	
palo	19.928160	4.299467	4	1.000000	
pozo	18.421497	4.265325	4	1.100000	
hoyo	16.945097	4.229044	4	1.200000	
lujo	16.558163	4.219012	4	1.250000	
pico	18.533902	4.267967	4	1.000000	
oído	168.504171	5.226611	4	1.600000	
tubo	16.188523	4.209207	4	1.150000	
nene	17.587104	4.245194	4	1.250000	
mago	20.127031	4.303780	4	1.000000	
maíz	14.093894	4.149031	4	1.900000	
cabo	50.597511	4.704129	4	1.000000	
tomo	37.900036	4.578640	4	1.000000	
nido	11.981971	4.078528	4	1.050000	
giro	12.889860	4.110248	4	1.100000	
coro	11.437238	4.058321	4	1.000000	
test	10.838464	4.034968	4	1.250000	
cubo	11.337802	4.054529	4	1.100000	
hilo	10.375873	4.016025	4	1.000000	
reto	11.776615	4.071020	4	1.000000	
menú	9.154546	3.961637	4	1.700000	
baúl	8.298536	3.919001	4	1.750000	
mito	8.901634	3.949470	4	1.000000	
puño	9.908958	3.996028	4	1.300000	
clan	10.821170	4.034274	4	1.200000	
bate	8.644399	3.936735	4	1.000000	
lazo	7.459820	3.872728	4	1.000000	
yate	7.273919	3.861768	4	1.300000	
kilo	7.044785	3.847868	4	1.300000	
velo	6.742156	3.828799	4	1.000000	
vago	9.522025	3.978729	4	1.000000	
coco	10.036495	4.001582	4	1.000000	
luto	5.596486	3.747915	4	1.200000	
lodo	5.564062	3.745392	4	1.000000	
faro	5.931541	3.773168	4	1.000000	
amor	426.763964	5.630188	4	1.550000	
nudo	5.613779	3.749255	4	1.200000	
mozo	6.562739	3.817085	4	1.000000	
padre	819.270256	5.913427	5	1.400000	
mundo	698.352430	5.844075	5	1.550000	
amigo	649.758760	5.812752	5	1.600000	
señor	1303.827830	6.115220	5	1.850000	
chico	334.189564	5.523993	5	1.300000	
miedo	299.369865	5.476208	5	1.750000	
coche	216.989759	5.336439	5	1.150000	
juego	215.161012	5.332764	5	1.650000	
sitio	159.970016	5.204039	5	1.450000	
poder	284.063291	5.453415	5	1.400000	
libro	160.285616	5.204895	5	1.400000	
punto	231.736468	5.364994	5	1.300000	
viaje	148.046409	5.170398	5	1.650000	
fuego	180.946572	5.257550	5	1.600000	
cielo	158.878388	5.201065	5	1.600000	
sueño	135.281924	5.131240	5	1.500000	
error	128.070693	5.107450	5	1.750000	
campo	125.303793	5.097964	5	1.100000	
dolor	122.528247	5.088236	5	1.650000	
grupo	125.416199	5.098354	5	1.700000	
barco	115.699626	5.063332	5	1.150000	
avión	113.267781	5.054106	5	1.800000	
hotel	117.351119	5.069487	5	1.950000	
honor	99.342495	4.997135	5	1.800000	
novio	93.296388	4.969865	5	1.850000	
papel	93.283418	4.969804	5	1.500000	
suelo	94.753333	4.976594	5	1.150000	
banco	83.767878	4.923078	5	1.300000	
baile	76.364261	4.882890	5	1.500000	
fondo	71.524349	4.854454	5	1.350000	
hueso	21.357004	4.329540	5	1.550000	
éxito	69.129251	4.839662	5	1.950000	
huevo	21.274862	4.327867	5	1.500000	
brazo	67.157836	4.827097	5	1.500000	
valor	68.690438	4.836896	5	1.500000	
color	66.537445	4.823066	5	1.500000	
vuelo	72.233367	4.858738	5	1.350000	
nivel	67.298342	4.828004	5	1.600000	
calor	63.787839	4.804738	5	1.700000	
golpe	63.288500	4.801325	5	1.400000	
norte	84.639019	4.927571	5	1.400000	
reloj	58.329697	4.765890	5	1.950000	
ruido	55.839488	4.746941	5	1.600000	
hielo	57.158088	4.757078	5	1.500000	
turno	49.903624	4.698132	5	1.450000	
humor	45.333917	4.656423	5	1.800000	
dueño	43.005830	4.633527	5	1.650000	
viejo	295.491882	5.470546	5	1.800000	
techo	40.941464	4.612163	5	1.250000	
pecho	40.989020	4.612668	5	1.200000	
polvo	42.372470	4.627084	5	1.700000	
video	39.017604	4.591261	5	1.650000	
carro	37.290454	4.571598	5	1.000000	
truco	36.959723	4.567729	5	1.600000	
primo	41.127365	4.614131	5	1.500000	
queso	36.613861	4.563646	5	1.350000	
